File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Nb,Nb Err,Sn,Sn Err,Cs,Cs Err,Ba,Ba Err,Ta,Ta Err,W,W Err,Tl,Tl Err,Pb,Pb Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1/03/2006 13:23,Supervisor,MAD213,639.5,Li Index,Li Index,30,No Match,0,,0,,0,,,,,0.1663,0.121,6.9271,0.1129,32.7478,0.2187,< LOD,0.01,0.0571,0.0058,0.1847,0.0069,0.9411,0.0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Passed,,,,,,,,,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Multiplier,Cal Check,,
97,1/03/2006 13:59,Supervisor,MAD213,640,Li Index,Li Index,61,No Match,0,,0,,0,,,,,0.1568,0.1199,4.255,0.0931,41.0503,0.2574,< LOD,0.0092,0.0725,0.0057,0.1032,0.0055,0.6562,0.01,< LOD,0.0715,,,< LOD,0.0192,< LOD,0.0169,0.1436,0.0254,,,< LOD,0.0025,< LOD,0.0005,< LOD,0.0016,< LOD,0.0017,,,,,0.0036,0.0005,< LOD,0.0004,,,< LOD,0.0005,0.0027,0.0006,,,,,,,,,,,,,,,0.0016,0.0012,,,,,< LOD,0.0041,< LOD,0.01,,,< LOD,0.0011,< LOD,0.0031,,,,,,,,,,,< LOD,0.001,0.0048,0.0014,,,,,3,Passed,,
98,1/03/2006 14:01,Supervisor,MAD213,640.5,Li Index,Li Index,61,No Match,0,,0,,0,,,,,< LOD,0.1333,7.9406,0.1154,34.9759,0.2307,0.0126,0.0096,0.0435,0.0053,7.6818,0.0329,0.0674,0.0079,< LOD,0.0326,,,< LOD,0.0101,< LOD,0.0102,0.1182,0.0216,,,< LOD,0.0032,0.0009,0.0007,< LOD,0.0015,0.0024,0.0018,,,,,0.0643,0.0018,< LOD,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0046,< LOD,0.0089,,,< LOD,0.0011,< LOD,0.0037,,,,,,,,,,,< LOD,0.0012,0.0055,0.0015,,,,,3,Passed,,
99,1/03/2006 14:02,Supervisor,MAD213,641,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1244,5.5536,0.1026,30.914,0.2106,< LOD,0.0106,0.0548,0.0058,0.905,0.0125,1.1482,0.0128,< LOD,0.0914,,,< LOD,0.0221,0.0207,0.0198,0.1412,0.0257,,,< LOD,0.0023,< LOD,0.0005,< LOD,0.0016,0.0024,0.0018,,,,,0.007,0.0006,0.003,0.0004,,,0.0069,0.0008,0.0012,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,0.0047,0.0038,< LOD,0.0097,,,< LOD,0.0012,< LOD,0.0032,,,,,,,,,,,< LOD,0.001,0.0069,0.0016,,,,,3,Passed,,
100,1/03/2006 14:04,Supervisor,MAD213,641.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1263,5.8061,0.1032,33.2563,0.2216,< LOD,0.0101,0.0477,0.0056,2.951,0.0215,0.4986,0.0097,< LOD,0.0763,,,< LOD,0.0184,< LOD,0.0214,0.1098,0.0241,,,< LOD,0.0034,< LOD,0.0007,0.0019,0.0016,0.0028,0.0018,,,,,0.0304,0.0013,0.0022,0.0004,,,0.0023,0.0006,0.0032,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0038,< LOD,0.0091,,,< LOD,0.0011,< LOD,0.0038,,,,,,,,,,,< LOD,0.0011,0.0071,0.0016,,,,,3,Passed,,
101,1/03/2006 14:06,Supervisor,MAD213,642,Li Index,Li Index,61,No Match,0,,0,,0,,,,,0.1243,0.1214,5.6782,0.0973,25.2464,0.1859,< LOD,0.0089,0.0401,0.0052,5.3117,0.0277,0.0432,0.0063,< LOD,0.0454,,,< LOD,0.0144,< LOD,0.0118,0.0492,0.0144,,,0.0046,0.0042,< LOD,0.0008,< LOD,0.0015,0.0021,0.0018,,,,,0.0735,0.002,0.0008,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0037,< LOD,0.0089,,,< LOD,0.0012,< LOD,0.0037,,,,,,,,,,,< LOD,0.0011,0.0035,0.0015,,,,,3,Passed,,
102,1/03/2006 14:07,Supervisor,MAD213,642.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1299,6.4858,0.111,35.3741,0.2315,< LOD,0.0102,0.043,0.0056,1.312,0.0151,0.7831,0.0114,< LOD,0.0998,,,< LOD,0.0269,< LOD,0.0224,0.8924,0.0612,,,< LOD,0.0035,< LOD,0.0007,0.0021,0.0016,0.0027,0.0019,,,,,0.0129,0.0008,0.0036,0.0004,,,< LOD,0.0006,0.0012,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0043,< LOD,0.0098,,,< LOD,0.0012,< LOD,0.0032,,,,,,,,,,,< LOD,0.0011,0.008,0.0016,,,,,3,Passed,,
104,1/03/2006 14:11,Supervisor,MAD213,643,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1724,0.1267,6.2748,0.1082,37.8926,0.2428,< LOD,0.0095,0.0554,0.0056,1.7523,0.017,0.6218,0.0104,< LOD,0.0924,,,< LOD,0.0232,< LOD,0.024,0.3345,0.039,,,< LOD,0.0039,0.0009,0.0008,< LOD,0.0016,0.0026,0.0018,,,,,0.0149,0.0008,0.0005,0.0004,,,0.0013,0.0006,0.0016,0.0005,,,,,,,,,,,,,,,0.0018,0.0013,,,,,< LOD,0.0043,< LOD,0.0099,,,< LOD,0.0012,< LOD,0.0033,,,,,,,,,,,< LOD,0.0011,0.0055,0.0015,,,,,3,Passed,,
105,1/03/2006 14:12,Supervisor,MAD213,643.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1303,6.4854,0.1097,35.9904,0.2342,< LOD,0.0102,0.0468,0.0056,1.9522,0.0179,0.6429,0.0105,< LOD,0.0733,,,< LOD,0.0238,< LOD,0.0199,0.2699,0.0346,,,< LOD,0.0021,0.0005,0.0005,0.0026,0.0017,0.0021,0.0018,,,,,0.0243,0.001,0.0008,0.0004,,,0.0117,0.0009,0.0037,0.0006,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0042,< LOD,0.0098,,,< LOD,0.0012,< LOD,0.0033,,,,,,,,,,,< LOD,0.001,0.0083,0.0016,,,,,3,Passed,,
106,1/03/2006 14:14,Supervisor,MAD213,644,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1818,0.1225,4.7003,0.096,36.4459,0.2352,< LOD,0.0099,0.0373,0.0051,0.4537,0.0094,0.6768,0.0103,,,,,,,,,,,,,,,,,0.0017,0.0016,0.0026,0.0018,,,,,0.0055,0.0006,0.002,0.0004,,,< LOD,0.0005,0.0017,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0038,< LOD,0.0097,,,< LOD,0.0012,< LOD,0.0032,,,,,,,,,,,< LOD,0.001,0.0062,0.0015,,,,,3,Passed,,
107,1/03/2006 14:15,Supervisor,MAD213,644.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1293,6.0476,0.1077,37.9926,0.243,< LOD,0.0106,0.0772,0.0062,0.4737,0.0095,0.8843,0.0115,< LOD,0.0812,,,< LOD,0.0239,< LOD,0.0207,0.1481,0.027,,,< LOD,0.0024,< LOD,0.0005,< LOD,0.0016,0.0028,0.0018,,,,,0.0078,0.0006,0.0026,0.0004,,,< LOD,0.0006,0.002,0.0005,,,,,,,,,,,,,,,0.0016,0.0013,,,,,< LOD,0.0041,< LOD,0.01,,,< LOD,0.0011,< LOD,0.0031,,,,,,,,,,,< LOD,0.001,0.0097,0.0017,,,,,3,Passed,,
108,1/03/2006 14:17,Supervisor,MAD213,645,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1392,0.1227,5.9991,0.1064,39.2673,0.2492,< LOD,0.0098,0.0601,0.0057,1.5601,0.016,0.6568,0.0105,< LOD,0.0809,,,< LOD,0.0207,< LOD,0.0187,0.2854,0.0352,,,< LOD,0.0026,< LOD,0.0005,0.0031,0.0017,< LOD,0.0017,,,,,0.0157,0.0008,0.0024,0.0004,,,< LOD,0.0006,0.0016,0.0005,,,,,,,,,,,,,,,0.0016,0.0013,,,,,< LOD,0.0043,< LOD,0.0099,,,0.0012,0.0012,< LOD,0.0031,,,,,,,,,,,< LOD,0.0011,0.0067,0.0015,,,,,3,Passed,,
109,1/03/2006 14:18,Supervisor,MAD213,645.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1364,7.1544,0.1132,36.1462,0.2355,< LOD,0.0104,0.0611,0.0061,3.7915,0.0241,0.4295,0.0096,,,,,,,,,,,,,,,,,0.0018,0.0016,0.0032,0.0019,,,,,0.0411,0.0013,0.0037,0.0005,,,< LOD,0.0006,0.0083,0.0007,,,,,,,,,,,,,,,0.0016,0.0012,,,,,< LOD,0.0043,< LOD,0.0096,,,< LOD,0.0012,< LOD,0.0034,,,,,,,,,,,< LOD,0.0011,0.0103,0.0017,,,,,3,Passed,,
110,1/03/2006 14:20,Supervisor,MAD213,646,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1704,0.1324,6.264,0.109,37.1037,0.2388,0.0145,0.0112,0.0783,0.0063,0.3984,0.0089,0.9109,0.0116,,,,,,,,,,,,,,,,,0.0023,0.0016,0.003,0.0018,,,,,0.004,0.0005,0.0045,0.0005,,,< LOD,0.0005,< LOD,0.0005,,,,,,,,,,,,,,,0.0021,0.0013,,,,,< LOD,0.004,< LOD,0.0101,,,< LOD,0.0012,< LOD,0.003,,,,,,,,,,,< LOD,0.001,0.0069,0.0015,,,,,3,Passed,,
111,1/03/2006 14:21,Supervisor,MAD213,646.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1286,7.2192,0.114,37.6532,0.2422,0.0115,0.0105,0.0679,0.006,2.9311,0.0215,0.58,0.0105,,,,,,,,,,,,,,,,,0.0017,0.0016,0.0021,0.0018,,,,,0.0344,0.0013,0.0033,0.0004,,,< LOD,0.0005,0.0017,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0042,0.0104,0.0096,,,< LOD,0.0011,< LOD,0.0034,,,,,,,,,,,< LOD,0.0012,0.0075,0.0016,,,,,3,Passed,,
112,1/03/2006 14:23,Supervisor,MAD213,647,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.2268,0.1302,5.13,0.1,38.3117,0.2446,< LOD,0.0096,0.0526,0.0055,0.5551,0.0102,0.6855,0.0104,,,,,,,,,,,,,,,,,0.0029,0.0017,0.002,0.0018,,,,,0.0143,0.0009,0.0032,0.0004,,,0.0023,0.0007,0.0022,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0038,< LOD,0.0096,,,< LOD,0.0011,< LOD,0.0034,,,,,,,,,,,< LOD,0.0011,0.0065,0.0015,,,,,3,Passed,,
113,1/03/2006 14:24,Supervisor,MAD213,647.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.138,8.8105,0.1209,34.2352,0.2286,0.0293,0.0116,0.4556,0.0125,9.1116,0.0356,0.0983,0.0085,,,,,,,,,,,,,,,,,< LOD,0.0015,0.0033,0.0019,,,,,0.0773,0.002,0.0032,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0044,0.0105,0.0081,,,< LOD,0.0012,< LOD,0.0038,,,,,,,,,,,0.0016,0.0013,0.0389,0.0027,,,,,3,Passed,,
114,1/03/2006 14:26,Supervisor,MAD213,648,Li Index,Li Index,61,No Match,0,,0,,0,,,,,< LOD,0.1217,4.6347,0.0946,30.7257,0.2095,0.0361,0.0116,0.0724,0.0061,0.8927,0.0124,0.6883,0.0101,< LOD,0.0117,,,0.0271,0.0187,0.0098,0.0074,0.0962,0.0188,,,< LOD,0.0029,0.0008,0.0005,< LOD,0.0014,0.0017,0.0016,,,,,0.0086,0.0008,0.0023,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0033,< LOD,0.0087,,,< LOD,0.001,< LOD,0.0035,,,,,,,,,,,< LOD,0.0011,0.0041,0.0014,,,,,3,Passed,,
115,1/03/2006 14:32,Supervisor,MAD213,648.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1294,5.6578,0.0991,29.676,0.206,< LOD,0.0101,0.0412,0.0056,5.1973,0.0276,0.061,0.0066,,,,,,,,,,,,,,,,,< LOD,0.0014,0.0018,0.0016,,,,,0.062,0.0019,0.0027,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,0.0039,0.0036,0.0139,0.0085,,,< LOD,0.0011,< LOD,0.004,,,,,,,,,,,< LOD,0.0013,0.0068,0.0016,,,,,3,Passed,,
116,1/03/2006 14:34,Supervisor,MAD213,649,Li Index,Li Index,61,No Match,0,,0,,0,,,,,0.1411,0.1324,6.295,0.11,37.2019,0.2396,0.0203,0.0113,0.0657,0.0059,0.175,0.0066,0.9052,0.0116,< LOD,0.0722,,,< LOD,0.0224,< LOD,0.0186,0.2914,0.0356,,,0.0036,0.003,< LOD,0.0006,< LOD,0.0016,0.0027,0.0018,,,,,0.0017,0.0004,0.003,0.0005,,,< LOD,0.0005,< LOD,0.0005,,,,,,,,,,,,,,,0.0021,0.0013,,,,,< LOD,0.0041,< LOD,0.0101,,,< LOD,0.0011,< LOD,0.0032,,,,,,,,,,,< LOD,0.001,0.004,0.0014,,,,,3,Passed,,
117,1/03/2006 14:36,Supervisor,MAD213,649.5,Li Index,Li Index,61,No Match,0,,0,,0,,,,,0.2209,0.1521,4.9467,0.0944,26.0278,0.1913,< LOD,0.012,0.1396,0.0081,4.3102,0.0255,0.2494,0.0079,< LOD,0.062,,,< LOD,0.0162,< LOD,0.0165,0.1892,0.0278,,,< LOD,0.003,< LOD,0.0006,< LOD,0.0015,< LOD,0.0018,,,,,0.0456,0.0015,0.0018,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,0.0016,0.0013,,,,,< LOD,0.0037,< LOD,0.0092,,,< LOD,0.0012,< LOD,0.0036,,,,,,,,,,,< LOD,0.0011,0.0105,0.0019,,,,,3,Passed,,
118,1/03/2006 14:37,Supervisor,MAD213,650,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1461,0.1458,4.5894,0.0967,33.7363,0.2245,0.0354,0.0129,0.1059,0.0073,0.4967,0.0099,0.6932,0.0104,< LOD,0.0858,,,< LOD,0.0214,< LOD,0.019,0.201,0.0302,,,< LOD,0.002,0.0006,0.0005,< LOD,0.0016,0.0022,0.0019,,,,,0.0064,0.0006,0.0024,0.0004,,,< LOD,0.0006,0.001,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0038,< LOD,0.0099,,,< LOD,0.0012,< LOD,0.0032,,,,,,,,,,,< LOD,0.001,0.0057,0.0016,,,,,3,Passed,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check
119,1/03/2006 14:39,Supervisor,MAD213,650.5,Li Index,Li Index,61,PWA1497,0,TMS138,0,TMS138ARu,0,,,,,< LOD,0.1816,3.785,0.0866,18.5136,0.1605,0.0242,0.0151,0.3547,0.0124,3.438,0.0236,0.2677,0.0078,< LOD,0.0632,,,< LOD,0.02,< LOD,0.0168,0.1757,0.0273,,,< LOD,0.0033,< LOD,0.0006,0.0025,0.002,0.0025,0.0023,,,,,0.0717,0.0016,0.0038,0.0006,,,0.0038,0.0008,< LOD,0.0004,,,,,,,,,,,,,,,0.0075,0.0017,,,,,< LOD,0.0041,0.0159,0.0114,,,< LOD,0.0016,< LOD,0.0031,,,,,,,,,,,< LOD,0.0009,0.0157,0.0025,,,,,0.0369,0,3,Passed
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Multiplier,Cal Check,,
120,1/03/2006 14:40,Supervisor,MAD213,651,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1462,5.6369,0.1059,34.3648,0.2277,0.0125,0.0124,0.0732,0.0066,0.1697,0.0068,0.8379,0.0112,,,,,,,,,,,,,,,,,< LOD,0.0016,0.0024,0.0018,,,,,0.004,0.0005,0.0037,0.0005,,,< LOD,0.0005,< LOD,0.0005,,,,,,,,,,,,,,,0.0015,0.0013,,,,,< LOD,0.0038,< LOD,0.0101,,,< LOD,0.0012,< LOD,0.0031,,,,,,,,,,,< LOD,0.001,0.0051,0.0015,,,,,3,Passed,,
121,1/03/2006 14:42,Supervisor,MAD213,651.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1573,4.2654,0.0935,26.3227,0.193,< LOD,0.0133,0.1249,0.0082,1.0397,0.0136,0.5725,0.0095,,,,,,,,,,,,,,,,,0.0018,0.0016,< LOD,0.0018,,,,,0.0242,0.0011,0.0027,0.0004,,,< LOD,0.0005,0.0016,0.0004,,,,,,,,,,,,,,,0.0017,0.0013,,,,,< LOD,0.0034,< LOD,0.0096,,,< LOD,0.0013,< LOD,0.0036,,,,,,,,,,,< LOD,0.0011,0.0103,0.0019,,,,,3,Passed,,
122,1/03/2006 14:44,Supervisor,MAD213,652,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1769,4.2212,0.0917,20.6987,0.1704,0.0436,0.0176,6.0921,0.0451,3.2182,0.0228,2.9224,0.0202,,,,,,,,,,,,,,,,,0.0029,0.0016,0.0027,0.0018,,,,,0.0547,0.0017,0.004,0.0005,,,< LOD,0.0005,0.0005,0.0004,,,,,,,,,,,,,,,< LOD,0.0014,,,,,< LOD,0.0041,< LOD,0.0093,,,< LOD,0.0012,< LOD,0.0037,,,,,,,,,,,0.0012,0.0011,0.0117,0.002,,,,,3,Passed,,
123,1/03/2006 14:45,Supervisor,MAD213,652.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1991,0.1394,6.1125,0.1069,35.5961,0.2331,0.0112,0.0111,0.0643,0.0061,2.0941,0.0185,0.606,0.0103,,,,,,,,,,,,,,,,,0.002,0.0016,< LOD,0.0018,,,,,0.0251,0.0011,0.0035,0.0004,,,< LOD,0.0006,0.0031,0.0006,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.004,0.0137,0.0097,,,< LOD,0.0012,< LOD,0.0034,,,,,,,,,,,< LOD,0.001,0.0089,0.0016,,,,,3,Passed,,
124,1/03/2006 14:47,Supervisor,MAD213,653,Li Index,Li Index,61,No Match,0,,0,,0,,,,,< LOD,0.1535,5.3229,0.1051,34.0369,0.2273,< LOD,0.0126,0.0786,0.007,0.2813,0.0084,0.8186,0.0114,0.5102,0.118,,,< LOD,0.0059,0.0508,0.0188,1.1684,0.0659,,,< LOD,0.0024,< LOD,0.0007,0.0028,0.0017,0.003,0.0019,,,,,0.0042,0.0005,0.0016,0.0004,,,< LOD,0.0005,0.0062,0.0006,,,,,,,,,,,,,,,0.0019,0.0013,,,,,< LOD,0.0042,< LOD,0.0096,,,< LOD,0.0012,< LOD,0.0033,,,,,,,,,,,< LOD,0.001,0.0083,0.0016,,,,,3,Passed,,
125,1/03/2006 14:48,Supervisor,MAD213,653.5,Li Index,Li Index,62,No Match,0,,0,,0,,,,,0.1889,0.1294,4.6767,0.0946,27.6537,0.1964,< LOD,0.0108,0.0481,0.0057,1.2218,0.0144,0.7181,0.0104,0.029,0.0264,,,< LOD,0.0073,0.0182,0.0087,0.3363,0.0251,,,< LOD,0.002,0.0008,0.0005,0.0017,0.0015,0.0024,0.0018,,,,,0.0156,0.0009,0.0024,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,0.0014,0.0013,,,,,< LOD,0.0034,< LOD,0.0093,,,< LOD,0.0011,< LOD,0.0035,,,,,,,,,,,< LOD,0.001,0.0056,0.0016,,,,,3,Passed,,
126,1/03/2006 14:50,Supervisor,MAD213,654,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.2148,0.1662,8.9959,0.1233,28.6392,0.205,0.0397,0.014,0.1072,0.0077,8.1979,0.0342,0.2559,0.0094,< LOD,0.0818,,,< LOD,0.0213,< LOD,0.0206,0.2444,0.0324,,,< LOD,0.0031,< LOD,0.0006,< LOD,0.0015,0.0019,0.0018,,,,,0.0895,0.0021,0.0037,0.0004,,,< LOD,0.0005,0.0024,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0043,0.0109,0.0086,,,< LOD,0.0012,< LOD,0.004,,,,,,,,,,,< LOD,0.0013,0.0065,0.0016,,,,,3,Passed,,
127,1/03/2006 14:52,Supervisor,MAD213,654.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1669,0.1322,5.2413,0.1015,37.9301,0.243,0.0603,0.0131,0.0639,0.006,0.4901,0.0098,0.7822,0.011,,,,,,,,,,,,,,,,,0.0017,0.0016,0.002,0.0017,,,,,0.0056,0.0006,0.0032,0.0004,,,< LOD,0.0005,0.0011,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0039,< LOD,0.0097,,,< LOD,0.0011,< LOD,0.0031,,,,,,,,,,,< LOD,0.001,0.0055,0.0015,,,,,3,Passed,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check
128,1/03/2006 14:54,Supervisor,MAD213,655,Li Index,Li Index,61,PWA1497,0,TMS138,0,TMS138ARu,0,,,,,0.2417,0.1191,2.6612,0.0668,14.6499,0.1362,0.033,0.0111,0.8928,0.0173,2.8253,0.0207,0.4052,0.008,< LOD,0.0329,,,< LOD,0.0133,0.0099,0.0077,0.1359,0.0222,,,< LOD,0.0049,< LOD,0.001,< LOD,0.0013,< LOD,0.0015,,,,,0.0827,0.003,< LOD,0.0003,,,< LOD,0.0004,< LOD,0.0003,,,,,,,,,,,,,,,< LOD,0.0011,,,,,< LOD,0.0023,< LOD,0.0071,,,< LOD,0.0011,< LOD,0.0063,,,,,,,,,,,< LOD,0.0016,0.0067,0.0016,,,,,0.0415,0,3,Passed
